date,open,high,low,close
06/25/2009,28.33,28.34,27.18,27.96
06/24/2009,27.61,29.06,27.42,28.18
06/23/2009,27.62,27.89,26.12,27.25
06/22/2009,29.1,29.1,27.36,27.54
06/19/2009,29.28,30.4,29.13,29.55
06/18/2009,29.91,30.21,29.42,29.91
06/17/2009,29.38,30.72,28.87,30.15
06/16/2009,30.73,31.03,29.43,29.43
06/15/2009,31.14,31.67,30.34,30.8
06/12/2009,32.19,32.19,31.25,31.61
06/11/2009,32.06,32.6,31.81,32.13
06/10/2009,32.68,33.0,31.64,32.22
06/09/2009,31.83,32.85,30.94,32.66
06/08/2009,32.15,32.15,31.54,31.87
06/05/2009,32.78,33.0,32.01,32.59
06/04/2009,31.14,32.85,30.55,32.81
06/03/2009,31.34,31.5,30.35,30.94
06/02/2009,31.46,32.37,30.97,32.0
06/01/2009,31.09,32.35,30.53,32.22
05/29/2009,30.22,31.36,30.09,31.04
05/28/2009,30.41,30.69,29.1,30.07
05/27/2009,29.37,30.87,29.26,29.95
05/26/2009,28.42,29.37,28.05,29.26
05/22/2009,27.7,28.9,27.24,28.5
05/21/2009,28.16,28.16,27.25,27.54
05/20/2009,28.54,29.49,28.35,28.56
05/19/2009,27.82,28.88,27.7,28.48
05/18/2009,27.59,28.0,26.76,27.85
05/15/2009,26.99,27.93,26.85,27.0
05/14/2009,26.66,27.39,26.6,27.03
05/13/2009,27.5,27.57,26.5,26.76
05/12/2009,28.75,28.75,27.1,27.81
05/11/2009,27.38,28.6,26.77,28.27
05/08/2009,28.11,28.52,26.77,27.7
05/07/2009,28.84,29.0,27.38,27.73
05/06/2009,28.66,28.82,27.63,28.62
05/05/2009,26.59,28.58,26.22,28.27
05/04/2009,25.59,26.73,25.27,26.66
05/01/2009,26.33,26.36,25.28,25.4
04/30/2009,26.32,27.05,26.01,26.08
04/29/2009,26.13,26.9,25.45,25.9
04/28/2009,25.35,26.59,25.23,25.85
04/27/2009,26.19,26.19,25.07,25.66
04/24/2009,26.3,26.72,25.6,26.0
04/23/2009,27.17,27.57,25.68,25.92
04/22/2009,30.49,33.4,30.35,32.55
04/21/2009,29.59,30.3,29.46,30.22
04/20/2009,30.27,30.36,29.3,29.78
04/17/2009,30.29,30.95,29.89,30.7
04/16/2009,30.0,30.4,29.31,30.19
04/15/2009,29.74,30.15,28.86,29.6
04/14/2009,30.7,31.44,29.83,30.04
04/13/2009,29.54,31.72,29.33,31.53
04/09/2009,30.72,30.72,29.5,30.01
04/08/2009,28.09,30.44,28.09,30.09
04/07/2009,27.54,27.86,27.01,27.6
04/06/2009,28.43,28.43,27.12,27.88
04/03/2009,27.55,28.77,26.61,28.67
04/02/2009,26.96,28.3,26.44,27.62
04/01/2009,24.68,26.56,24.42,26.12
03/31/2009,23.45,24.41,23.41,23.62
03/30/2009,23.58,23.82,23.0,23.52
03/27/2009,25.0,25.0,23.91,24.26
03/26/2009,24.16,25.78,24.16,25.72
03/25/2009,24.9,25.08,23.16,24.16
03/24/2009,24.98,25.0,24.14,24.64
03/23/2009,23.91,25.42,23.46,25.2
03/20/2009,24.74,24.79,22.99,23.04
03/19/2009,25.79,25.91,24.46,24.82
03/18/2009,23.6,25.7,23.26,25.25
03/17/2009,22.51,23.68,22.51,23.57
03/16/2009,23.06,23.22,22.38,22.51
03/13/2009,22.6,23.01,22.1,22.67
03/12/2009,22.77,23.2,22.16,22.67
03/11/2009,22.48,22.98,21.79,22.65
03/10/2009,20.78,22.35,20.02,22.28
03/09/2009,19.66,20.31,19.16,19.95
03/06/2009,20.11,20.49,19.51,19.89
03/05/2009,20.98,21.0,19.95,20.0
03/04/2009,20.94,21.79,20.86,21.09
03/03/2009,20.92,21.68,20.75,21.01
03/02/2009,20.55,21.47,20.27,20.73
02/27/2009,21.5,21.99,20.62,20.76
02/26/2009,22.81,22.84,21.26,21.5
02/25/2009,22.93,22.93,21.83,22.43
02/24/2009,21.56,23.15,21.4,22.93
02/23/2009,22.94,22.94,21.4,21.45
02/20/2009,21.8,22.63,21.8,22.51
02/19/2009,23.0,23.0,21.94,22.31
02/18/2009,23.77,23.77,22.41,22.6
02/17/2009,24.1,24.54,23.56,23.88
02/13/2009,26.25,26.25,24.35,25.09
02/12/2009,25.5,26.59,24.39,26.04
02/11/2009,24.42,26.43,23.75,26.04
02/10/2009,25.62,26.59,24.22,24.39
02/09/2009,25.3,26.56,25.0,26.12
02/06/2009,24.62,25.53,24.01,25.31
02/05/2009,21.79,24.6,21.79,24.37
02/04/2009,22.51,23.1,22.02,22.23
02/03/2009,22.04,22.62,21.43,22.51
02/02/2009,20.64,21.99,20.54,21.75
01/30/2009,21.68,21.8,20.52,20.7
01/29/2009,22.1,22.79,21.52,21.6
01/28/2009,21.82,23.02,21.06,22.53
01/27/2009,22.21,22.5,20.39,21.47
01/26/2009,22.01,23.49,21.4,22.1
01/23/2009,20.37,21.84,20.26,21.62
01/22/2009,21.38,21.75,20.55,21.2
01/21/2009,20.98,21.99,20.02,21.88
01/20/2009,22.06,22.32,20.2,20.28
01/16/2009,22.84,22.96,21.58,22.0
01/15/2009,21.95,22.84,21.6,22.34
01/14/2009,22.55,22.65,21.36,21.76
01/13/2009,23.82,24.2,22.4,22.61
01/12/2009,25.18,25.18,23.1,23.75
01/09/2009,26.62,26.63,24.86,25.03
01/08/2009,25.31,27.21,25.19,26.33
01/07/2009,23.94,25.35,23.79,24.83
01/06/2009,23.95,25.15,23.64,24.58
01/05/2009,23.55,24.0,23.16,23.74
01/02/2009,23.44,24.0,22.41,23.74
12/31/2008,23.31,24.1,23.0,23.69
12/30/2008,22.01,23.32,21.85,23.32
12/29/2008,22.14,22.5,21.87,22.01
12/26/2008,21.57,22.38,21.51,22.32
12/24/2008,21.61,22.08,21.5,21.69
12/23/2008,22.25,22.7,21.16,21.79
12/22/2008,24.52,24.53,22.1,22.41
12/19/2008,24.5,24.67,23.62,24.52
12/18/2008,24.66,25.25,23.78,24.28
12/17/2008,23.98,25.47,23.33,24.46
12/16/2008,24.59,24.59,23.6,24.35
12/15/2008,24.61,24.61,23.1,23.73
12/12/2008,23.02,24.74,23.0,24.74
12/11/2008,24.34,24.75,23.35,23.67
12/10/2008,23.51,25.2,22.95,24.98
12/09/2008,22.6,24.88,22.2,23.21
12/08/2008,24.13,24.13,22.59,23.17
12/05/2008,21.23,23.9,20.44,23.3
12/04/2008,21.25,22.8,20.58,21.35
12/03/2008,18.53,22.05,18.26,21.85
12/02/2008,17.88,19.32,17.54,19.0
12/01/2008,19.0,19.3,17.8,17.88
11/28/2008,19.09,19.65,18.75,19.35
11/26/2008,19.08,20.0,18.75,18.99
11/25/2008,20.04,20.73,19.13,19.26
11/24/2008,19.66,19.96,19.09,19.55
11/21/2008,19.01,19.93,17.25,18.94
11/20/2008,19.5,21.47,19.23,19.61
11/19/2008,21.0,21.25,19.5,19.76
11/18/2008,20.14,20.75,19.5,20.51
11/17/2008,20.11,21.3,19.7,19.88
11/14/2008,22.47,22.47,20.0,20.0
11/13/2008,22.01,23.01,20.05,22.77
11/12/2008,23.0,24.1,22.2,22.42
11/11/2008,25.79,25.79,23.44,23.64
11/10/2008,27.5,27.5,24.42,24.81
11/07/2008,26.52,27.22,25.9,26.66
11/06/2008,26.78,27.42,25.92,26.06
11/05/2008,29.55,29.55,27.49,27.51
11/04/2008,31.68,32.2,29.34,30.56
11/03/2008,30.79,32.75,29.2,31.81
10/31/2008,30.95,31.5,29.08,31.0
10/30/2008,29.87,31.8,28.62,31.17
10/29/2008,26.8,29.2,26.71,28.22
10/28/2008,24.3,27.14,23.67,27.06
10/27/2008,21.88,24.5,21.11,23.18
10/24/2008,18.38,23.21,18.3,22.13
10/23/2008,20.29,20.74,19.17,20.44
10/22/2008,21.5,21.55,19.12,20.06
10/21/2008,19.92,20.99,18.65,18.73
10/20/2008,21.59,21.86,19.3,20.64
10/17/2008,20.03,21.67,19.39,20.69
10/16/2008,20.0,20.75,18.55,19.89
10/15/2008,20.87,21.3,19.56,19.97
10/14/2008,24.65,25.49,21.3,21.33
10/13/2008,23.49,24.43,22.1,24.0
10/10/2008,19.01,22.38,18.74,21.03
10/09/2008,21.4,21.5,19.42,20.45
